pcf_id,stage_desc,scope,value_chain,stage_emissions_kg_co2e,is_transport,is_endoflife
22710-1-2016,"Other: Fuel used in remote properties (Distribution centres, offices etc.)",Scope 1,Downstream,0.0004,No,No
33496-2-2014,Manufacturing,Scope 1 & 2,Operations,132.0,No,No
33496-2-2014,Transportation,Scope 1,Downstream,32.0,Yes,No
33496-2-2015,Manufacturing,Scope 1 & 2,Operations,131.0,No,No
33496-2-2015,Transportation,Scope 1,Downstream,47.0,Yes,No
3435-1-2016,Material acquisition,Scope 3,Upstream,8478.0,No,No
3435-1-2016,Energy/Fuel,Scope 1,Operations,9093.0,No,No
3435-1-2016,Production,Scope 2,Operations,6474.0,No,No
3435-1-2016,Processing,Scope 1,Operations,686.0,No,No
3435-1-2016,Transportation,Scope 3,Downstream,102.0,Yes,No
3435-1-2016,Other:,Scope 3,Downstream,6.0,No,No
3435-2-2016,Material acquisition,Scope 3,Upstream,4983.0,No,No
3435-2-2016,Production,Scope 2,Operations,9028.0,No,No
3435-2-2016,Energy/Fuel,Scope 1,Operations,6219.0,No,No
3435-2-2016,Processing,Scope 1,Operations,793.0,No,No
3435-2-2016,Transportation,Scope 3,Downstream,96.0,Yes,No
3435-2-2016,Other:,Scope 3,Downstream,7.0,No,No
3435-3-2016,Material acquisition,Scope 3,Upstream,3017.0,No,No
3435-3-2016,Production,Scope 2,Operations,12694.0,No,No
3435-3-2016,Energy/Fuel,Scope 1,Operations,1412.0,No,No
3435-3-2016,Processing,Scope 1,Operations,883.0,No,No
3435-3-2016,Transportation,Scope 3,Downstream,34.0,Yes,No
3435-3-2016,Other:,Scope 3,Downstream,3.0,No,No
3435-4-2016,Material acquisition,Scope 3,Upstream,8022.0,No,No
3435-4-2016,Energy/Fuel,Scope 1,Operations,9943.0,No,No
3435-4-2016,Production,Scope 2,Operations,8033.0,No,No
3435-4-2016,Processing,Scope 1,Operations,767.0,No,No
3435-4-2016,Transportation,Scope 3,Downstream,68.0,Yes,No
3435-4-2016,Other:,Scope 3,Downstream,3.0,No,No
3435-5-2016,Material acquisition,Scope 3,Upstream,877.0,No,No
3435-5-2016,Energy/Fuel,Scope 1,Operations,1678.0,No,No
3435-5-2016,Production,Scope 2,Operations,966.0,No,No
3435-5-2016,Processing,Scope 1,Operations,292.0,No,No
3435-5-2016,Transportation,Scope 3,Downstream,43.0,Yes,No
3435-5-2016,Other:,Scope 3,Downstream,3.0,No,No
34386-1-2016,Energy/Fuel,Scope 1,Operations,6.073,No,No
34386-1-2016,Transportation,Scope 3,Downstream,10.811,Yes,No
34386-1-2016,Other: Handling,Scope 3,Downstream,6.32e-05,No,No
3565-10-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.2455,No,No
3565-10-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.0054,No,No
3565-10-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0116,No,No
3565-10-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0564,No,No
3565-10-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0146,Yes,No
3565-10-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0058,No,No
3565-11-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.1069,No,No
3565-11-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.0077,No,No
3565-11-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0271,No,No
3565-11-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0607,No,No
3565-11-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0158,Yes,No
3565-11-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0018,No,No
3565-1-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.096,No,No
3565-1-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.0226,No,No
3565-1-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0119,No,No
3565-1-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0289,No,No
3565-1-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0097,Yes,No
3565-1-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0009,No,No
3565-12-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.1688,No,No
3565-12-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.032,No,No
3565-12-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0864,No,No
3565-12-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0552,Yes,No
3565-12-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0368,No,No
3565-12-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0208,No,No
3565-13-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.2324,No,No
3565-13-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.0213,No,No
3565-13-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.015,No,No
3565-13-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0588,No,No
3565-13-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0168,Yes,No
